Distance(mi),Crossing,Junction,Traffic_Calming,Visibility(mi),Sunrise_Sunset,Month,Day_of_Week,Hour,Severity,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Wind_Speed(mph),Precipitation(in),Weather_Condition_Cloudy,Weather_Condition_Fair,Weather_Condition_Fog,Weather_Condition_Rain,Weather_Condition_Snow,Weather_Condition_Thunder,Weather_Condition_Wintry Mix,cluster_location_0,cluster_location_1,cluster_location_2,cluster_location_3,cluster_location_4,cluster_location_5,cluster_location_6,cluster_location_7,cluster_location_8,cluster_location_9
0.382,0,0,0,2.1972245773362196,1,5,0,17,2,59.0,59.0,75.0,30.15,6.0,0.01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2.485,0,0,0,2.302585092994046,1,3,2,14,2,60.0,60.0,42.0,29.95,6.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0409999999999999,1,0,0,2.302585092994046,1,8,4,15,2,79.0,79.0,56.0,30.02,7.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.094,1,0,0,2.302585092994046,1,10,2,16,2,63.0,63.0,56.0,29.96,12.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.071,1,0,0,2.302585092994046,1,9,2,17,2,69.0,69.0,32.0,30.03,15.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.299,0,0,0,2.302585092994046,1,3,0,8,2,45.0,43.0,86.0,30.09,5.0,0.01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.047,1,0,0,2.302585092994046,0,3,0,6,2,37.0,37.0,86.0,30.14,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.122,0,0,0,2.302585092994046,1,12,1,15,2,44.0,40.0,63.0,29.86,7.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.292,0,0,0,2.302585092994046,0,11,6,18,2,60.0,60.0,69.0,30.17,7.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.87,1,0,0,2.302585092994046,1,11,1,13,2,51.0,51.0,68.0,30.15,10.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.893,0,0,0,2.302585092994046,1,5,4,19,2,65.0,65.0,45.0,30.15,13.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.01,1,0,0,2.302585092994046,0,3,3,2,2,45.0,43.0,80.0,29.86,5.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2.3680000000000003,0,0,0,2.302585092994046,1,7,2,11,2,64.0,64.0,67.0,30.05,7.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.194,0,0,0,2.302585092994046,1,11,1,10,2,49.0,47.0,77.0,30.14,6.0,0.02,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.618,0,0,0,2.302585092994046,1,7,1,15,2,85.0,85.0,40.0,29.86,8.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.257,0,0,0,2.302585092994046,0,12,0,6,2,25.0,16.0,92.0,29.73,8.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.805,0,1,0,2.302585092994046,1,4,4,10,2,47.0,47.0,59.0,30.23,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.008,0,0,0,2.302585092994046,1,12,1,14,2,45.0,41.0,63.0,29.84,8.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.368,0,0,0,2.302585092994046,1,12,4,7,2,42.0,42.0,82.0,30.15,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.292,0,0,0,2.302585092994046,1,8,2,7,2,57.0,57.0,74.0,30.01,5.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.732,0,0,0,2.302585092994046,0,12,1,5,2,36.0,36.0,82.0,30.13,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.047,0,0,0,2.302585092994046,0,8,0,1,2,53.0,53.0,74.0,29.96,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.03,0,0,0,2.302585092994046,0,12,3,6,2,40.0,37.0,83.0,29.92,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.682,0,0,0,1.0986122886681098,1,12,5,13,2,50.0,50.0,80.0,30.09,12.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.426,0,1,0,2.302585092994046,0,9,4,19,2,77.0,77.0,43.0,29.7,16.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2.052,1,0,0,2.302585092994046,1,4,1,14,2,60.0,60.0,53.0,30.15,6.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.55,0,0,0,2.302585092994046,1,7,5,18,2,83.0,83.0,39.0,30.04,17.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.137,0,0,0,2.302585092994046,0,12,6,20,2,42.0,42.0,79.0,30.39,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.016,1,0,0,2.302585092994046,1,10,1,18,2,54.0,54.0,59.0,30.01,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.988,0,0,0,2.302585092994046,1,12,2,15,2,44.0,39.0,73.0,29.83,9.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.012,0,0,0,2.302585092994046,1,8,5,20,2,75.0,75.0,60.0,29.83,5.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.692,0,0,0,2.302585092994046,1,8,2,16,2,96.0,96.0,23.0,29.63,14.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.785,0,0,0,2.302585092994046,1,6,5,14,2,100.0,100.0,34.0,29.86,12.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.426,0,0,0,2.302585092994046,1,11,5,14,2,51.0,51.0,63.0,30.48,3.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.051,1,0,0,2.302585092994046,1,12,3,16,2,45.0,41.0,68.0,29.56,7.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.032,0,0,0,2.302585092994046,1,10,4,16,2,57.0,57.0,77.0,29.81,9.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.038,0,0,0,2.302585092994046,1,10,1,15,2,54.0,54.0,53.0,30.07,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.126,0,0,0,2.302585092994046,1,6,5,15,2,79.0,79.0,36.0,30.01,10.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
